y,x
0.947713,1.660227
0.11,1
0.2,0.23
0.03,0.3
0.15,0.239998
0.08,0.08
0.03,0.07
0.03,0.04
0.24,0.8
0.23,0.05
0.08,0.06
0.05,0.06
4.05,7.681738
0.02,0.08
0.65,0.87
0.13,0.215
0.03,0.16
0.06,0.25
0.01,0.02
0.2,0.35
0.02,0.02
0.07,0.04
0.87,1.22
0.06,0.479999
0.01,0.05
0.01,0.02
0.11,0.29
0.0033,0.065
0.02,0.02
0.14,0.19
32.892345,145.91626
0.46,0.22
0.12,0.4
0.05,0.01
0.1,0.9
0.035,0.055
0.16,0.32
0.05,0.140003
0.099,0.04
0.11,0.69
0.2,0.3
0.03,0.120002
0.13,0.25
0.238333,0.021481
0.03,0.08
0.12,0.075
0.88,2
0.04,0.05
0.07,0.17
0.04,1.8
0.01,0.01
0.01,0.04
0.045,1.9
0.03,0.02
0.01,0.2
0.46,0.27
0.02,0.240005
0.1,0.3
0.135,0.23
0.01,0.01
0.43,2.14
0.05,0.5
0.58,0.94
0.025,0.02
0.03,0.28
0.02,0.03
0.13,0.23
0.16,0.09
0.5,1.75
4.29,2.25
0.02,0.04
0.08,0.09
0.2,0.23
0.25,0.1
0.09,0.33
6,14.000001
1.02,1.2
0.27,0.61
0.01,0.06
0.03,0.05
0.04,0.04
0.02,0.07
0.3,0.43
0.02,0.68
0.05,0.05
5.01,3.15
0.12,0.3
0.01,0.119999
0.02,0.04
0.15,0.45
0.01,0.205
0.14,0.25
0.03,0.09
0.05,0.06
0.22,0.41
0.14,0.06
0.09,0.15
0.19,0.4
0.0012,0.0012
0.11,0.24
0.16,0.11
0.04,0.06
0.03,0.13
0.01,0.03
4.9,9.2
4,9
0.03,0.1
1.39,0.74
1.11,0.7
6.76,6.98
7,12.999999
0.09,4
0.13,0.42
0.08,0.4
0.11,0.26
0.01,0.04
0.04,0.06
0.01,0.105
0.19,0.06
0.09,0.09
0.12,0.48
0.035,0.12
0.05,0.1
0.14,0.06
0.03,0.16
0.21,0.48
0.31,0.22
0.78,0.17
0.05,0.05
0.04,0.2
0.06,0.33
0.05,0.06
0.3,0.9
0.03,0.04
0.06,0.21
0.1,0.15
0.03,1.01
0.12,0.899999
0.11,0.11
0.1,0.04
0.02,0.04
38.044868,35.079067
0.19,0.32
0.04,0.2
0.19,0.11
0.04,0.01
0.045,2.5
0.24,0.16
0.2,1.2
0.04,0.06
0.04,0.2
0.03,2.03
0.77,0.39
0.0169,0.014
0.36,0.39
0.035,0.55
1.3,1.35
1.05,1.28
0.11,0.21
0.01,0.03
0.07,0.17
0.155,0.2
0.04,0.4
0.04,0.07
0.01,0.04
0.085,0.33
0.05,0.1
0.02,0.02
